% 1. Title: NetworkInterface_eth58_tx
%
@RELATION NetworkInterface_eth58_tx
@ATTRIBUTE value NUMERIC

@DATA
4734860
4737704
4739969
4753142
4768468
4809008
4814645
4815125
4824322
4831885
4841512
4844464
4844716
4850201
4853720
4860118
4864558
4867042
4881449
4881668
4882417
4892115
4896171
4899014
4900499
4900890
4902029
4935435
4991872
5001997
5008598
5009103
5011709
5012936
5015445
5020947
5021969
5023306
5024161
5025242
5027713
5031961
5032208
5032936
5034112
5034750
5046949
5051138
5051678
5052018
5052399
5053795
5056311
5058570
5065360
5066909
5073637
5116471
5129604
5142052
5267816
5279387
5281895
5282158
5284146
5299498
5303915
5305041
5306084
5306791
5307930
5314588
5315913
5316419
5318678
5375290
5383087
5385352
5393890
5394688
5396262
5399540
5400063
5410771
5419190
5419491
5419546
5425351
5426693
5430101
5430503
5442556
5444869
5447418
5477180
5524925
5539512
5542448
5578383
5688047
5699187
5704091
5706228
5708683
5720212
5729873
5752538
5756109
5760129
5760725
5761979
5779297
5781929
5785790
5786275
5787515
